metal_ox,gas_cate,temperature,density,resp_density,metal,resp_val
In2O3,diesel_volatiles,250,50,0.002,resp_val,1.8
In2O3,diesel_volatiles,250,50,0.002,Ru,1.5
In2O3,diesel_volatiles,250,50,0.002,Rh,2.3
In2O3,diesel_volatiles,250,50,0.002,Pd,2.5
In2O3,diesel_volatiles,250,50,0.002,Pt,1.6
In2O3,diesel_volatiles,250,50,0.002,La,1.7
In2O3,diesel_volatiles,250,50,0.002,Ce,1.8
In2O3,diesel_volatiles,250,50,0.002,Pr,2.1
In2O3,diesel_volatiles,250,50,0.002,Nd,1.7
In2O3,diesel_volatiles,250,50,0.002,Eu,1.8
In2O3,diesel_volatiles,250,50,0.002,Sb,1.7
In2O3,diesel_volatiles,250,50,0.002,Gd,3.0
In2O3,diesel_volatiles,250,50,0.002,Ho,2.3
In2O3,diesel_volatiles,250,50,0.001,resp_val,1.8
In2O3,diesel_volatiles,250,50,0.001,Ru,1.5
In2O3,diesel_volatiles,250,50,0.001,Rh,2.4
In2O3,diesel_volatiles,250,50,0.001,Pd,2.2
In2O3,diesel_volatiles,250,50,0.001,Pt,1.6
In2O3,diesel_volatiles,250,50,0.001,La,1.6
In2O3,diesel_volatiles,250,50,0.001,Ce,1.8
In2O3,diesel_volatiles,250,50,0.001,Pr,1.9
In2O3,diesel_volatiles,250,50,0.001,Nd,1.6
In2O3,diesel_volatiles,250,50,0.001,Eu,1.8
In2O3,diesel_volatiles,250,50,0.001,Sb,1.0
In2O3,diesel_volatiles,250,50,0.001,Gd,2.8
In2O3,diesel_volatiles,250,50,0.001,Ho,2.0
In2O3,diesel_volatiles,250,30,0.005,resp_val,1.8
In2O3,diesel_volatiles,250,30,0.005,Ru,1.4
In2O3,diesel_volatiles,250,30,0.005,Rh,2.7
In2O3,diesel_volatiles,250,30,0.005,Pd,3.1
In2O3,diesel_volatiles,250,30,0.005,Pt,1.8
In2O3,diesel_volatiles,250,30,0.005,La,1.8
